id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5506,**$99 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32980850423623,-71.09559469348262,Entire home/apt,145,3,59,2018-04-26,0.53,6,296
6695,$125 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.329940605699676,-71.093505106791,Entire home/apt,169,3,69,2018-04-29,0.65,6,263
6976,"Folk Art Spirit in a Leafy, Quiet Neighborhood",16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,62,2018-04-18,0.58,1,91
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918691518732,-71.06265110707376,Entire home/apt,99,14,15,2018-03-31,0.33,8,280
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698264322,-71.06201144020237,Entire home/apt,154,20,22,2018-04-06,0.21,8,277
8865,Walk to Medical Area - room,26988,Anne,,Mission Hill,42.329355704629755,-71.10009110466451,Private room,100,14,12,2015-07-27,0.11,8,297
10758,Budget Single - share bath,38440,The Farrington Inn,,Allston,42.35344916645469,-71.13179683452269,Private room,115,1,2,2015-10-03,0.05,4,0
10807,Budget Double - share bath ,38440,The Farrington Inn,,Allston,42.35412285944836,-71.1304857316918,Private room,80,1,1,2014-10-13,0.02,4,0
10809,Private Room with 2 Beds share Bath,38440,The Farrington Inn,,Allston,42.35478799360237,-71.13208846148751,Private room,100,1,14,2016-08-15,0.28,4,0
10810,Two Bedroom Apartment,38440,The Farrington Inn,,Allston,42.35335918308216,-71.13034354292151,Entire home/apt,250,4,0,,,4,0
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34972969320107,-71.0879236417328,Entire home/apt,189,1,5,2017-04-08,0.17,6,357
10813,Back Bay Apt Studio Apt,38997,Michelle,,Back Bay,42.34961258120306,-71.08903821762654,Entire home/apt,189,3,1,2016-05-23,0.04,6,221
10986,Waterfront Furnished Apt ,38997,Michelle,,North End,42.36351987255669,-71.05075391788681,Entire home/apt,83,5,2,2016-05-23,0.08,6,363
12356,"Renovated, State House View",26988,Anne,,Beacon Hill,42.35898848993431,-71.06324696239577,Entire home/apt,145,14,9,2016-08-13,0.21,8,327
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.323285711989264,-71.06210286717582,Entire home/apt,126,2,34,2018-03-27,0.35,24,56
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34495654198742,-71.07485746185634,Private room,140,1,272,2018-05-04,3.29,5,74
23619,"Modern, upgraded Beacon Hill Studio",93112,Henry And Lisa,,Beacon Hill,42.35846013534796,-71.06326992202112,Entire home/apt,175,3,201,2018-05-13,2.08,1,47
24240,The Golden Slipper,97821,Gretchen,,North End,42.36366047776044,-71.05023194381583,Entire home/apt,270,1,65,2018-05-14,0.70,1,94
26160,Sunny and Spacious in JP,46575,Martha,,Jamaica Plain,42.319499959646116,-71.1123177290191,Private room,94,3,116,2018-04-19,1.19,1,25
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29834949192866,-71.05910373438712,Private room,50,1,217,2018-05-08,2.23,10,331
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.315565116572934,-71.11482700886869,Entire home/apt,185,3,11,2017-10-09,0.23,1,356
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37833821738547,-71.06662682158364,Entire home/apt,295,2,92,2017-09-03,0.95,3,178
31796,Big room with two bed/Room A,119019,Hermina,,Dorchester,42.299773412938755,-71.0604758082839,Private room,43,1,380,2018-05-13,3.94,10,319
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.3463347597641,-71.08832312205183,Entire home/apt,165,4,134,2018-04-30,1.41,1,17
39116,Private Room/Perfect Location!,167745,Angela,,Fenway,42.34238757407687,-71.09725113569735,Private room,99,3,70,2018-02-20,0.74,1,321
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31509938985096,-71.11107897137123,Private room,95,5,68,2018-05-14,0.72,1,292
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.376551110585275,-71.06676905680453,Entire home/apt,213,2,79,2018-04-17,0.84,3,178
47521,Beautiful Victorian House /C,119019,Hermina,,Dorchester,42.297719717380254,-71.0592404613887,Private room,50,1,296,2018-05-13,3.16,10,336
50032,Amazing Design & Detail Throughout!,228845,Jeremy,,Jamaica Plain,42.31591115539129,-71.11275691200883,Entire home/apt,700,3,18,2017-12-09,0.23,2,269
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004204312099,-71.04941830401073,Entire home/apt,99,5,28,2018-05-15,0.32,1,185
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.325841851882,-71.08926850105509,Private room,70,2,123,2018-01-05,1.37,5,94
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35711748262145,-71.06179965761459,Entire home/apt,175,7,9,2018-01-04,0.16,8,251
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35866925366806,-71.06331526509506,Entire home/apt,110,14,33,2018-04-21,0.49,8,186
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.326142212195286,-71.0884044797577,Private room,80,2,93,2018-04-17,1.09,5,319
76073,A large beautiful house in Boston,405376,Randi,,Brighton,42.352724933744454,-71.16881965750625,Entire home/apt,450,2,63,2017-10-22,0.73,2,130
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853324504035,-71.06176887037248,Private room,140,2,31,2017-10-24,0.38,2,360
77691,Beautiful Victorian House /Room B,119019,Hermina,,Dorchester,42.29770901,-71.05979096181578,Private room,65,1,259,2018-05-12,2.95,10,345
82637,Nautical Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37833379967386,-71.06181846257596,Private room,175,2,22,2017-07-16,0.28,2,362
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31357973181839,-71.04696815124996,Private room,68,1,61,2018-04-29,0.72,1,297
95453,Royal Street Studio: by Spare Suite,508268,Richard,,Allston,42.35937207684766,-71.13155989406006,Entire home/apt,175,5,23,2018-04-30,0.27,1,338
115936,"Sunny, Spacious and Affordable",228845,Jeremy,,Jamaica Plain,42.3155761411289,-71.1130574529959,Entire home/apt,550,3,12,2018-04-09,0.16,2,82
118905,Lotus (Luxury apartment),434539,Brahma,,East Boston,42.37932676415325,-71.03376093729794,Entire home/apt,325,7,23,2018-03-29,0.28,2,136
143842,Beautiful Apt in Heart of Boston,697401,Nick,,Brighton,42.34466193734135,-71.15876763776456,Private room,180,1,20,2012-07-28,0.24,2,0
158745,Luxury Back Bay Brownstone on the Charles!,761904,Kimberly,,Back Bay,42.350677720369156,-71.08770535714874,Entire home/apt,278,3,0,,,1,15
160572,"2 Living Rooms, Sunroom Opens to Deck Ocean View",766862,Nicole,,South Boston,42.33324331178137,-71.04199974359747,Entire home/apt,495,4,6,2018-03-13,0.08,1,46
